report_id,region_id,office_code,app_combo,app_type,avg_days,performance_standard,percent_in_standard,source_file
2015_2016_FY,province_average,Prov / Avg.,A1,A1_L,25.686567164179106,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1,A1_T,55.796875,30,1.5625,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/A2,A1_L,18.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/A2,A2_L,18.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/L1/L2,A1_L,24.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/L1/L2,L1,24.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/L1/L2,L2,24.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/L9,A1_L,43.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/L9,L9,43.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/T1,A1_T,15.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/T1,T1,15.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/T1/T2,A1_T,25.5,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/T1/T2,T1,25.5,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/T1/T2,T2,25.5,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
2015_2016_FY,province_average,Prov / Avg.,A1/T1/T5,A1_T,41.0,30,0.0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016_FY.xlsx
