report_id,region_id,office_code,app_combo,app_type,avg_days,performance_standard,percent_in_standard,source_file
2018_2019_Q2,province_average,Prov / Avg.,A1,A1_L,33.04,30,24.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1,A1_T,39.1875,30,18.75,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/A2,A1_L,23.0,30,100.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/A2,A1_T,52.5,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/A2,A2_L,23.0,30,100.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/A2,A2_T,52.5,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/A2/L2,A1_L,44.0,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/A2/L2,A2_L,44.0,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/A2/L2,L2,44.0,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/L2,A1_L,42.0,30,33.33333333333333,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/L2,L2,42.0,30,33.33333333333333,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/L3,A1_L,29.0,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/L3,L3,29.0,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/T1/T2,A1_T,52.0,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/T1/T2,T1,52.0,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
2018_2019_Q2,province_average,Prov / Avg.,A1/T1/T2,T2,52.0,30,0.0,22 9 2018-07-01_2018-09-30 LTBAvgDayFirstHearing Q2 2018-19.xlsx
