report_id,period_label,period_order,app_combo,app_type,avg_days,performance_standard,percent_in_standard
2015_2016_FY,2015-16 FY,2015.5,L1,L1,22.80865964941191,25,0.105052835396626
2015_2016_FY,2015-16 FY,2015.5,L9,L9,23.45,25,0.0543478260869565
2016_2017_Q1,2016-17 Q1,2016.0,L1,L1,23.85979502688172,25,0.0924059139784946
2016_2017_Q1,2016-17 Q1,2016.0,L9,L9,24.482142857142858,25,0.2232142857142857
2016_2017_Q2,2016-17 Q2,2016.25,L1,L1,26.16281430579416,25,0.1639856317351242
2016_2017_Q2,2016-17 Q2,2016.25,L9,L9,27.734939759036145,25,0.0
2016_2017_Q3,2016-17 Q3,2016.5,L1,L1,27.164144050104383,25,0.034794711203897
2016_2017_Q3,2016-17 Q3,2016.5,L9,L9,27.8595988538682,25,0.0
2017_2018_Q1,2017-18 Q1,2017.0,L1,L1,21.37001636097477,25,79.23017308189098
2017_2018_Q1,2017-18 Q1,2017.0,L9,L9,21.567474048442907,25,77.50865051903114
2017_2018_Q2,2017-18 Q2,2017.25,L1,L1,24.515181115181115,25,59.06389906389906
2017_2018_Q2,2017-18 Q2,2017.25,L9,L9,25.611675126903556,25,50.76142131979695
2017_2018_Q3,2017-18 Q3,2017.5,L1,L1,26.49473684210526,25,52.27272727272727
2017_2018_Q3,2017-18 Q3,2017.5,L9,L9,27.435897435897434,25,44.87179487179488
2017_2018_Q4,2017-18 Q4,2017.75,L1,L1,28.037092357480702,25,44.21209858103062
2017_2018_Q4,2017-18 Q4,2017.75,L9,L9,29.952,25,34.4
2018_2019_Q2,2018-19 Q2,2018.25,L1,L1,29.69133339116856,25,40.85191290014748
2018_2019_Q2,2018-19 Q2,2018.25,L9,L9,30.57777777777778,25,33.611111111111114
2018_2019_Q3,2018-19 Q3,2018.5,L1,L1,36.770364268716826,25,16.190737689913966
2018_2019_Q3,2018-19 Q3,2018.5,L9,L9,39.28685258964144,25,13.147410358565736
2018_2019_Q4,2018-19 Q4,2018.75,L1,L1,35.55911620846686,25,22.49957834373419
2018_2019_Q4,2018-19 Q4,2018.75,L9,L9,39.432,25,12.0
2019_2020_Q1,2019-20 Q1,2019.0,L1,L1,35.48979591836735,25,23.769507803121247
2019_2020_Q1,2019-20 Q1,2019.0,L9,L9,42.85762711864407,25,10.508474576271183
2019_2020_Q2,2019-20 Q2,2019.25,L1,L1,37.80629722921914,25,20.957178841309823
2019_2020_Q2,2019-20 Q2,2019.25,L9,L9,43.91769547325103,25,8.23045267489712
2019_2020_Q3,2019-20 Q3,2019.5,L1,L1,56.54995809665704,25,8.669336064810503
2019_2020_Q3,2019-20 Q3,2019.5,L9,L9,58.74857142857143,25,4.0
2019_2020_Q4,2019-20 Q4,2019.75,L1,L1,88.10108604845448,25,3.1746031746031744
2019_2020_Q4,2019-20 Q4,2019.75,L9,L9,86.09420289855072,25,1.4492753623188406
2020_2021_Q1,2020-21 Q1,2020.0,L1,L1,51.1,25,18.3
2020_2021_Q1,2020-21 Q1,2020.0,L9,L9,32.2,25,44.1
2020_2021_Q2,2020-21 Q2,2020.25,L1,L1,29.2,25,66.7
2020_2021_Q2,2020-21 Q2,2020.25,L9,L9,59.0,25,0.0
2020_2021_Q3,2020-21 Q3,2020.5,L1,L1,38.4,25,28.0
2020_2021_Q3,2020-21 Q3,2020.5,L9,L9,1.0,25,100.0
2020_2021_Q4,2020-21 Q4,2020.75,L1,L1,54.5,25,23.1
2020_2021_Q4,2020-21 Q4,2020.75,L9,L9,58.0,25,0.0
2021_2022_Q1,2021-22 Q1,2021.0,L1,L1,64.8,25,0.3
2021_2022_Q1,2021-22 Q1,2021.0,L9,L9,83.3,25,0.8
2021_2022_Q2,2021-22 Q2,2021.25,L1,L1,65.2,25,0.3
2021_2022_Q2,2021-22 Q2,2021.25,L9,L9,85.8,25,0.0
2021_2022_Q3,2021-22 Q3,2021.5,L1,L1,74.8,25,0.0
2021_2022_Q3,2021-22 Q3,2021.5,L9,L9,83.3,25,0.0
2021_2022_Q4,2021-22 Q4,2021.75,L1,L1,87.66666666666667,25,0.0
2022_2023_Q1,2022-23 Q1,2022.0,L1,L1,154.3256370978013,25,0.0006524859715516
2022_2023_Q1,2022-23 Q1,2022.0,L9,L9,128.1,25,0.0
2022_2023_Q2,2022-23 Q2,2022.25,L1,L1,141.55978491941207,25,0.0018575851393188
2022_2023_Q2,2022-23 Q2,2022.25,L9,L9,141.6,25,0.0
2022_2023_Q3,2022-23 Q3,2022.5,L1,L1,100.0,25,0.0014655593551538
2022_2023_Q3,2022-23 Q3,2022.5,L9,L9,93.5,25,0.0
2022_2023_Q4,2022-23 Q4,2022.75,L1,L1,95.0,25,0.001
2022_2023_Q4,2022-23 Q4,2022.75,L9,L9,74.0,25,0.0
2023_2024_Q1,2023-24 Q1,2023.0,L1,L1,134.4,25,0.001
2023_2024_Q1,2023-24 Q1,2023.0,L9,L9,177.1,25,0.0
2023_2024_Q2,2023-24 Q2,2023.25,L1,L1,120.62135922330096,25,0.0033743730050159
2023_2024_Q2,2023-24 Q2,2023.25,L9,L9,143.41142857142856,25,0.0172413793103448
2023_2024_Q3,2023-24 Q3,2023.5,L1,L1,98.7,25,0.0033743730050159
2023_2024_Q3,2023-24 Q3,2023.5,L9,L9,108.6,25,0.0
2023_2024_Q4,2023-24 Q4,2023.75,L1,L1,101.2,25,0.001
2023_2024_Q4,2023-24 Q4,2023.75,L9,L9,100.4,25,0.0
2024_2025_Q1,2024-25 Q1,2024.0,L1,L1,91.8,25,0.0004
2024_2025_Q1,2024-25 Q1,2024.0,L9,L9,90.5,25,0.0
2024_2025_Q2,2024-25 Q2,2024.25,L1,L1,80.1,25,0.0013
2024_2025_Q2,2024-25 Q2,2024.25,L9,L9,79.2,25,0.0
2024_2025_Q3,2024-25 Q3,2024.5,L1,L1,68.9,25,0.0014
2024_2025_Q3,2024-25 Q3,2024.5,L9,L9,68.1,25,0.0
2024_2025_Q4,2024-25 Q4,2024.75,L1,L1,74.8,25,0.0008
2024_2025_Q4,2024-25 Q4,2024.75,L9,L9,72.6,25,0.0
2025_2026_Q1,2025-26 Q1,2025.0,L1,L1,65.8,25,0.0012
2025_2026_Q1,2025-26 Q1,2025.0,L9,L9,63.9,25,0.0
2025_2026_Q2,2025-26 Q2,2025.25,L1,L1,55.1,25,0.0027
2025_2026_Q2,2025-26 Q2,2025.25,L9,L9,51.9,25,0.0
2025_2026_Q3,2025-26 Q3,2025.5,L1,L1,48.0,25,0.0037
2025_2026_Q3,2025-26 Q3,2025.5,L9,L9,48.0,25,0.0
2025_2026_Q4,2025-26 Q4,2025.75,L1,L1,51.645057471264366,25,0.0044
2025_2026_Q4,2025-26 Q4,2025.75,L9,L9,50.99,25,0.0
