report_id,app_code,description,metric_id,value,data_status
1999_2000,A1,Determine Whether Act Applies,cases,87,reported
1999_2000,A1,Determine Whether Act Applies,defaults,0,reported
1999_2000,A1,Determine Whether Act Applies,hearings,47,reported
1999_2000,A2,Sublet or Assignment,cases,354,reported
1999_2000,A2,Sublet or Assignment,defaults,91,reported
1999_2000,A2,Sublet or Assignment,hearings,176,reported
1999_2000,A3,Combined Application,cases,3209,reported
1999_2000,A3,Combined Application,defaults,638,reported
1999_2000,A3,Combined Application,hearings,2028,reported
1999_2000,A4,Vary Rent Reduction Amount,cases,215,reported
1999_2000,A4,Vary Rent Reduction Amount,defaults,0,reported
1999_2000,A4,Vary Rent Reduction Amount,hearings,299,reported
1999_2000,L1,Termination for Non-Payment of Rent,cases,47121,reported
1999_2000,L1,Termination for Non-Payment of Rent,defaults,29903,reported
1999_2000,L1,Termination for Non-Payment of Rent,hearings,14398,reported
1999_2000,L2,Terminate Tenancy & Evict,cases,6347,reported
1999_2000,L2,Terminate Tenancy & Evict,defaults,1488,reported
1999_2000,L2,Terminate Tenancy & Evict,hearings,3557,reported
1999_2000,L3,Termination: Tenant Gave Notice,cases,1461,reported
1999_2000,L3,Termination: Tenant Gave Notice,defaults,1302,reported
1999_2000,L3,Termination: Tenant Gave Notice,hearings,364,reported
1999_2000,L4,Terminate Tenancy: Failed Settlement,cases,1016,reported
1999_2000,L4,Terminate Tenancy: Failed Settlement,defaults,941,reported
1999_2000,L4,Terminate Tenancy: Failed Settlement,hearings,287,reported
1999_2000,L5,Rent Increase Above Guidelines,cases,399,reported
1999_2000,L5,Rent Increase Above Guidelines,defaults,0,reported
1999_2000,L5,Rent Increase Above Guidelines,hearings,420,reported
1999_2000,L6,Review of Provincial Work Order,cases,26,reported
1999_2000,L6,Review of Provincial Work Order,defaults,0,reported
1999_2000,L6,Review of Provincial Work Order,hearings,21,reported
1999_2000,L7,Transfer Tenant to Care Home,cases,-,reported
1999_2000,L7,Transfer Tenant to Care Home,defaults,-,reported
1999_2000,L7,Transfer Tenant to Care Home,hearings,-,reported
1999_2000,L8,Tenant Changed Locks,cases,71,reported
1999_2000,L8,Tenant Changed Locks,defaults,0,reported
1999_2000,L8,Tenant Changed Locks,hearings,33,reported
1999_2000,T1,Rent Rebate (eg. Illegal rent),cases,601,reported
1999_2000,T1,Rent Rebate (eg. Illegal rent),defaults,47,reported
1999_2000,T1,Rent Rebate (eg. Illegal rent),hearings,375,reported
1999_2000,T2,Tenant Rights,cases,2627,reported
1999_2000,T2,Tenant Rights,defaults,0,reported
1999_2000,T2,Tenant Rights,hearings,1748,reported
1999_2000,T3,Rent Reduction,cases,1258,reported
1999_2000,T3,Rent Reduction,defaults,0,reported
1999_2000,T3,Rent Reduction,hearings,821,reported
1999_2000,T4,Failed Rent Increase Above Guidelines,cases,-,reported
1999_2000,T4,Failed Rent Increase Above Guidelines,defaults,-,reported
1999_2000,T4,Failed Rent Increase Above Guidelines,hearings,-,reported
1999_2000,T5,Bad Faith Notice of Termination,cases,85,reported
1999_2000,T5,Bad Faith Notice of Termination,defaults,0,reported
1999_2000,T5,Bad Faith Notice of Termination,hearings,66,reported
1999_2000,T6,Maintenance,cases,-,reported
1999_2000,T6,Maintenance,defaults,-,reported
1999_2000,T6,Maintenance,hearings,-,reported
2000_2001,A1,Determine Whether Act Applies,cases,61,reported
2000_2001,A1,Determine Whether Act Applies,defaults,0,reported
2000_2001,A1,Determine Whether Act Applies,hearings,77,reported
2000_2001,A2,Sublet or Assignment,cases,369,reported
