report_id,calls_reported_value,calls_metric,value_status,avg_call_duration_reported,avg_call_duration_seconds,avg_queue_time_reported,avg_queue_time_seconds,notes
1998_1999,847149,responded,exact,,,,,
1999_2000,870000,responded,approximate,,,,,
2000_2001,850000,responded,approximate,,,,,
2001_2002,750000,responded,approximate,,,,,
2002_2003,700000,responded,approximate,,,,,
2003_2004,620000,responded,approximate,,,,,
2004_2005,545600,responded,approximate,,,,,
2005_2006,552965,responded,approximate,,,,,
2006_2007,500000,responded,approximate,,,,,
2007_2008,400000,responded,approximate,,,,,
2008_2009,500000,responded,greater_than,,,,,
2009_2010,500000,responded,approximate,,,,,
2010_2011,500000,responded,approximate,,,,,
2011_2012,500000,responded,greater_than,,,,,
2012_2013,502321,received,exact,,,,,
2013_2014,293351,handled,exact,05:08,308,06:44,404,Average time per call and average queue time were first reported retrospectively in the 2015-2016 annual report.
2014_2015,286869,handled,exact,05:10,310,06:46,406,The 2014-2015 annual report reported average queue time as 06:48; subsequent retrospective tables in the 2015-2016 and 2016-2017 annual reports restated it as 06:46. This project treats later report data as a source of truth.
2015_2016,299143,handled,exact,04:45,285,05:06,306,
2016_2017,261154,handled,exact,05:19,319,09:46,586,
2017_2018,272719,handled,exact,04:57,297,09:04,544,
2018_2019,242892,handled,exact,4:48,288,15:18,918,
2019_2020,201871,handled,exact,4:37,277,17:36,1056,
2020_2021,197927,handled,exact,5:03,303,15:57,957,
2021_2022,164521,handled,exact,5:00,300,22:46,1366,
2022_2023,122933,handled,exact,5:13,313,36:33,2193,
2023_2024,157561,handled,exact,5:18,318,27:48,1668,
2024_2025,226575,handled,exact,5:04,304,11:12,672,
