combo_family,app_combo,count,periods_present,count_per_period
Landlord,L1/L2,400,34,11.764705882352942
Landlord,L2/L9,320,32,10.0
Landlord,L1/L2/L8,219,18,12.166666666666666
Landlord,L1/L3,214,18,11.88888888888889
Landlord,L3/L9,204,19,10.736842105263158
Landlord,L1/L2/L3,195,16,12.1875
Landlord,L2/L3,168,18,9.333333333333334
Landlord,L2/L8,158,19,8.31578947368421
Landlord,A2/L2,152,20,7.6
Landlord,L2/L3/L9,123,13,9.461538461538462
Landlord,L1/L8,108,14,7.714285714285714
Landlord,L1/L2/L9,75,11,6.818181818181818
Landlord,L2/L8/L9,51,7,7.285714285714286
Landlord,A1/L2,50,12,4.166666666666667
Landlord,A2/L1,48,8,6.0
Landlord,A2/L1/L2,42,6,7.0
Landlord,A1/A2/L2,30,5,6.0
Landlord,A1/L1/L2,30,4,7.5
Landlord,A2/L2/L3,30,5,6.0
Landlord,A2/L3,30,7,4.285714285714286
Landlord,L1/L9,30,8,3.75
Landlord,A2/L2/L8,24,4,6.0
Landlord,L1/L2/L3/L8,24,3,8.0
Landlord,L8/L9,24,6,4.0
Landlord,A1/L1,20,5,4.0
Landlord,A2/L9,20,4,5.0
Landlord,A2/L8,16,4,4.0
Landlord,L1/L2/L8/L9,16,2,8.0
Landlord,L2/L3/L8/L9,16,2,8.0
Landlord,L1/L3/L8,12,2,6.0
Landlord,L2/L3/L8,12,2,6.0
Landlord,A2/L2/L9,9,1,9.0
Landlord,A1/L3,8,2,4.0
Landlord,A2/L1/L2/L3,8,1,8.0
Landlord,A2/L1/L2/L8,8,1,8.0
Landlord,L2/L6,8,2,4.0
Landlord,L3/L8,8,2,4.0
Landlord,A2/L3/L9,6,1,6.0
Landlord,A2/L8/L9,6,1,6.0
Landlord,L2/L10,6,3,2.0
Landlord,L2/L7,6,2,3.0
Landlord,L3/L8/L9,6,1,6.0
Landlord,A1/L9,4,1,4.0
Landlord,L1/L4,4,1,4.0
Landlord,L4/L9,4,1,4.0
Landlord,L1/L2/A2,3,1,3.0
Landlord,A2/L10,2,1,2.0
Landlord,L2/A1,2,1,2.0
Landlord,L2/A2,2,1,2.0
Landlord,L8/L10,2,1,2.0
Mixed,L1/T2/T6,12,2,6.0
Mixed,L4/T2/T6,6,1,6.0
Mixed,L9/T6,4,1,4.0
Other,A1/A2,70,15,4.666666666666667
Tenant,T1/T2/T6,492,32,15.375
Tenant,T2/T6,378,34,11.117647058823529
Tenant,T1/T2,364,35,10.4
Tenant,T2/T3/T6,363,24,15.125
Tenant,T1/T2/T3/T6,260,21,12.380952380952381
Tenant,T1/T6,252,26,9.692307692307692
Tenant,T2/T3,230,24,9.583333333333334
Tenant,T2/T5,184,28,6.571428571428571
Tenant,T2/T5/T6,174,23,7.565217391304348
Tenant,T1/T2/T5,168,25,6.72
Tenant,T1/T5,158,27,5.851851851851852
Tenant,A1/T2,152,24,6.333333333333333
Tenant,T1/T2/T3,138,19,7.2631578947368425
Tenant,T1/T2/T5/T6,132,18,7.333333333333333
Tenant,T3/T6,126,19,6.631578947368421
Tenant,T1/T5/T6,93,15,6.2
Tenant,T5/T6,76,18,4.222222222222222
Tenant,A2/T1,74,14,5.285714285714286
Tenant,T1/T3,74,18,4.111111111111111
Tenant,A2/T2,64,13,4.923076923076923
Tenant,T1/T3/T6,63,9,7.0
Tenant,A2/T1/T2,57,9,6.333333333333333
Tenant,A1/T1,56,15,3.7333333333333334
Tenant,T2/T6/T7,45,7,6.428571428571429
Tenant,A2/T2/T6,39,6,6.5
Tenant,T1/T2/T6/T7,36,5,7.2
Tenant,T2/T7,34,8,4.25
Tenant,A1/T2/T6,33,6,5.5
Tenant,A2/T1/T2/T6,32,4,8.0
Tenant,A1/T1/T2,30,5,6.0
Tenant,T2/T4/T6,30,6,5.0
Tenant,T1/T2/T3/T5/T6,20,3,6.666666666666667
Tenant,T1/T2/T7,18,3,6.0
Tenant,T2/T4,18,5,3.6
Tenant,A2/T6,16,4,4.0
Tenant,A1/T6,14,5,2.8
Tenant,A2/T2/T3/T6,12,1,12.0
Tenant,T1/T4,12,4,3.0
Tenant,T4/T6,12,3,4.0
Tenant,T1/T2/T3/T4/T6,10,1,10.0
Tenant,T1/T2/T3/T6/T7,10,1,10.0
Tenant,T1/T2/T4/T5/T6,10,1,10.0
Tenant,T6/T7,10,3,3.3333333333333335
Tenant,T2/T3/T5,9,2,4.5
Tenant,A2/T1/T3/T6,8,1,8.0
Tenant,T1/T2/T3/T5,8,1,8.0
Tenant,T1/T2/T3/T7,8,1,8.0
Tenant,T1/T2/T4/T6,8,1,8.0
Tenant,T1/T3/T5/T7,8,1,8.0
Tenant,T1/T3/T6/T7,8,1,8.0
Tenant,T1/T7,8,3,2.6666666666666665
Tenant,T2/A1,8,4,2.0
Tenant,T2/T3/T5/T6,8,1,8.0
Tenant,T2/T3/T6/T7,8,1,8.0
Tenant,T2/T4/T5/T6,8,1,8.0
Tenant,A1/A2/T2,6,1,6.0
Tenant,A1/T1/T5,6,1,6.0
Tenant,A1/T2/T3,6,1,6.0
Tenant,T1/T3/T5,6,1,6.0
Tenant,T1/T4/T5,6,1,6.0
Tenant,T1/T6/T7,6,1,6.0
Tenant,T2/T5/T7,6,1,6.0
Tenant,T4/T5/T6,6,1,6.0
Tenant,T1/T2/T5/T6/T7,5,1,5.0
Tenant,A1/A2/T2/T6,4,1,4.0
Tenant,A1/T3/T4/T6,4,1,4.0
Tenant,A2/T3,4,1,4.0
Tenant,A4/T2,4,1,4.0
Tenant,T1/A1,4,2,2.0
Tenant,T3/T4,4,1,4.0
Tenant,T4/T5,4,1,4.0
Tenant,A1/T1/T4,3,1,3.0
Tenant,A1/T6/T7,3,1,3.0
Tenant,T1/T4/T6,3,1,3.0
Tenant,T1/T6/A2,3,1,3.0
Tenant,T2/T4/T5,3,1,3.0
Tenant,T2/T6/A1,3,1,3.0
