report_id,app_code,description,metric_id,value,data_status
2014_2015,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,132,reported
2014_2015,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2014_2015,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2014_2015,C1/2,Combined C1 and C2 Applications,cases,32,reported
2014_2015,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2014_2015,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2014_2015,C2,End the Occupancy of the Member Unit and Evict the Member,cases,23,reported
2014_2015,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2014_2015,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2014_2015,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,7,reported
2014_2015,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,defaults,-,not_reported
2014_2015,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,hearings,-,not_reported
2014_2015,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,14,reported
2014_2015,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2014_2015,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
2015_2016,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,252,reported
2015_2016,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2015_2016,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2015_2016,C1/2,Combined C1 and C2 Applications,cases,74,reported
2015_2016,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2015_2016,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2015_2016,C2,End the Occupancy of the Member Unit and Evict the Member,cases,73,reported
2015_2016,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2015_2016,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2015_2016,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,5,reported
