report_id,period_label,period_order,report_status,app_combo,app_type,avg_days,performance_standard,percent_in_standard,data_status
2015_2016_FY,2015-16 FY,2015.75,reported,L10,L10,,,,not_reported
2015_2016_FY,2015-16 FY,2015.75,reported,L2,L2,22.73815261044177,30.0,0.0344234079173838,reported
2015_2016_FY,2015-16 FY,2015.75,reported,L3,L3,25.24716553287982,30.0,0.0,reported
2015_2016_FY,2015-16 FY,2015.75,reported,L4,L4,30.640686274509804,30.0,0.0980392156862745,reported
2015_2016_FY,2015-16 FY,2015.75,reported,L5,L5,294.1494565217391,30.0,0.0,reported
2015_2016_FY,2015-16 FY,2015.75,reported,L6,L6,26.666666666666668,30.0,0.0,reported
2015_2016_FY,2015-16 FY,2015.75,reported,L7,L7,63.5,30.0,0.0,reported
2015_2016_FY,2015-16 FY,2015.75,reported,L8,L8,22.76923076923077,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,L10,L10,,,,not_reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,L2,L2,27.819025522041763,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,L3,L3,29.323741007194243,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,L4,L4,32.9064039408867,30.0,0.1642036124794745,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,L5,L5,200.031746031746,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,L6,L6,,,,not_reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,L7,L7,,,,not_reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,L8,L8,29.33333333333333,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,L10,L10,,,,not_reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,L2,L2,27.71264367816092,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,L3,L3,28.76608187134503,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,L4,L4,30.18536585365853,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,L5,L5,135.02,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,L6,L6,,,,not_reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,L7,L7,,,,not_reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,L8,L8,29.8,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,L10,L10,,,,not_reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,L2,L2,26.90385467434648,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,L3,L3,26.309734513274336,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,L4,L4,29.27960526315789,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,L5,L5,116.47916666666669,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,L6,L6,17.0,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,L7,L7,,,,not_reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,L8,L8,20.7,30.0,0.0,reported
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,L10,L10,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,L2,L2,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,L3,L3,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,L4,L4,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,L5,L5,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,L6,L6,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,L7,L7,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,L8,L8,,,,missing_report
2017_2018_Q1,2017-18 Q1,2017.0,reported,L10,L10,,,,not_reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,L2,L2,25.42751925008369,30.0,57.28155339805825,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,L3,L3,24.672619047619047,30.0,62.5,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,L4,L4,26.06657223796034,30.0,52.8328611898017,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,L5,L5,116.0,30.0,0.0,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,L6,L6,21.666666666666668,30.0,66.66666666666666,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,L7,L7,,,,not_reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,L8,L8,22.4,30.0,40.0,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,L10,L10,,,,not_reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,L2,L2,28.129244629244628,30.0,43.93624393624393,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,L3,L3,27.1656050955414,30.0,48.40764331210191,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,L4,L4,26.7125,30.0,51.80555555555556,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,L5,L5,,,,not_reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,L6,L6,28.0,30.0,50.0,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,L7,L7,,,,not_reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,L8,L8,32.2,30.0,40.0,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,L10,L10,,,,not_reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,L2,L2,29.162663755458517,30.0,43.5589519650655,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,L3,L3,27.78125,30.0,51.5625,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,L4,L4,26.536679536679536,30.0,55.5984555984556,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,L5,L5,87.5,30.0,0.0,reported
