report_id,region_id,metric_id,value,unit,notes
1998_1999,region_central,total_received,9282,applications,
1998_1999,region_eastern,total_received,10490,applications,
1998_1999,region_northern,total_received,2314,applications,
1998_1999,region_southern,total_received,9289,applications,
1998_1999,region_southwestern,total_received,11547,applications,
1998_1999,region_torontoNorth,total_received,8732,applications,
1998_1999,region_torontoEast,total_received,11352,applications,
1998_1999,region_torontoSouth,total_received,15396,applications,
1999_2000,region_central,total_received,7508,applications,
1999_2000,region_eastern,total_received,9907,applications,
1999_2000,region_northern,total_received,2175,applications,
1999_2000,region_southern,total_received,9186,applications,
1999_2000,region_southwestern,total_received,11181,applications,
1999_2000,region_torontoNorth,total_received,7580,applications,
1999_2000,region_torontoEast,total_received,10343,applications,
1999_2000,region_torontoSouth,total_received,12301,applications,
2000_2001,region_central,total_received,7685,applications,
2000_2001,region_eastern,total_received,9071,applications,
2000_2001,region_northern,total_received,2130,applications,
2000_2001,region_southern,total_received,9598,applications,
2000_2001,region_southwestern,total_received,12495,applications,
2000_2001,region_torontoNorth,total_received,8987,applications,
2000_2001,region_torontoEast,total_received,11737,applications,
2000_2001,region_torontoSouth,total_received,12228,applications,
2001_2002,region_central,total_received,7733,applications,
2001_2002,region_eastern,total_received,9534,applications,
2001_2002,region_northern,total_received,2596,applications,
2001_2002,region_southern,total_received,10269,applications,
2001_2002,region_southwestern,total_received,12618,applications,
2001_2002,region_torontoNorth,total_received,9433,applications,
2001_2002,region_torontoEast,total_received,11881,applications,
2001_2002,region_torontoSouth,total_received,13085,applications,
2002_2003,region_central,total_received,7100,applications,
2002_2003,region_eastern,total_received,7507,applications,
2002_2003,region_northern,total_received,2413,applications,
2002_2003,region_southern,total_received,9660,applications,
2002_2003,region_southwestern,total_received,11391,applications,
2002_2003,region_torontoNorth,total_received,8164,applications,
2002_2003,region_torontoEast,total_received,10448,applications,
2002_2003,region_torontoSouth,total_received,11435,applications,
2003_2004,region_central,total_received,7519,applications,
2003_2004,region_eastern,total_received,7781,applications,
2003_2004,region_northern,total_received,2541,applications,
2003_2004,region_southern,total_received,9340,applications,
2003_2004,region_southwestern,total_received,11511,applications,
2003_2004,region_torontoNorth,total_received,9137,applications,
2003_2004,region_torontoEast,total_received,10489,applications,
2003_2004,region_torontoSouth,total_received,11686,applications,
2004_2005,region_central,total_received,8277,applications,
2004_2005,region_eastern,total_received,8599,applications,
2004_2005,region_northern,total_received,2756,applications,
2004_2005,region_southern,total_received,9819,applications,
2004_2005,region_southwestern,total_received,12472,applications,
2004_2005,region_torontoNorth,total_received,9632,applications,
2004_2005,region_torontoEast,total_received,11191,applications,
2004_2005,region_torontoSouth,total_received,12121,applications,
2005_2006,region_central,total_received,9601,applications,
2005_2006,region_eastern,total_received,8304,applications,
2005_2006,region_northern,total_received,3086,applications,
2005_2006,region_southern,total_received,11256,applications,
2005_2006,region_southwestern,total_received,12856,applications,
2005_2006,region_torontoNorth,total_received,11350,applications,
2005_2006,region_torontoEast,total_received,11856,applications,
2005_2006,region_torontoSouth,total_received,12691,applications,
2006_2007,region_central,total_received,7892,applications,
2006_2007,region_eastern,total_received,6987,applications,
2006_2007,region_northern,total_received,2811,applications,
2006_2007,region_southern,total_received,9369,applications,
2006_2007,region_southwestern,total_received,10961,applications,
2006_2007,region_torontoNorth,total_received,9841,applications,
2006_2007,region_torontoEast,total_received,9745,applications,
2006_2007,region_torontoSouth,total_received,10517,applications,
2007_2008,region_central,total_received,9358,applications,
2007_2008,region_eastern,total_received,8113,applications,
2007_2008,region_northern,total_received,3634,applications,
2007_2008,region_southern,total_received,10689,applications,
2007_2008,region_southwestern,total_received,12758,applications,
2007_2008,region_torontoNorth,total_received,11656,applications,
2007_2008,region_torontoEast,total_received,11947,applications,
2007_2008,region_torontoSouth,total_received,12397,applications,
2008_2009,region_central,total_received,9651,applications,
2008_2009,region_eastern,total_received,8714,applications,
2008_2009,region_northern,total_received,4015,applications,
2008_2009,region_southern,total_received,11467,applications,
2008_2009,region_southwestern,total_received,13496,applications,
2008_2009,region_torontoNorth,total_received,12264,applications,
2008_2009,region_torontoEast,total_received,13455,applications,
2008_2009,region_torontoSouth,total_received,12778,applications,
2009_2010,region_central,total_received,9166,applications,
2009_2010,region_eastern,total_received,9283,applications,
2009_2010,region_northern,total_received,3442,applications,
2009_2010,region_southern,total_received,10031,applications,
2009_2010,region_southwestern,total_received,12166,applications,
2009_2010,region_torontoNorth,total_received,9808,applications,
2009_2010,region_torontoEast,total_received,12816,applications,
2009_2010,region_torontoSouth,total_received,11360,applications,
2010_2011,region_central,total_received,9139,applications,
2010_2011,region_eastern,total_received,8970,applications,
2010_2011,region_northern,total_received,3519,applications,
2010_2011,region_southern,total_received,9982,applications,
2010_2011,region_southwestern,total_received,12595,applications,
2010_2011,region_torontoNorth,total_received,9908,applications,
2010_2011,region_torontoEast,total_received,12325,applications,
2010_2011,region_torontoSouth,total_received,10956,applications,
2011_2012,region_central,total_received,9416,applications,
2011_2012,region_eastern,total_received,8154,applications,
2011_2012,region_northern,total_received,3491,applications,
2011_2012,region_southern,total_received,10862,applications,
2011_2012,region_southwestern,total_received,13001,applications,
2011_2012,region_torontoNorth,total_received,10977,applications,
2011_2012,region_torontoEast,total_received,13470,applications,
2011_2012,region_torontoSouth,total_received,11717,applications,
2012_2013,region_central,total_received,,applications,
2012_2013,region_eastern,total_received,,applications,
2012_2013,region_northern,total_received,,applications,
2012_2013,region_southern,total_received,,applications,
2012_2013,region_southwestern,total_received,,applications,
2012_2013,region_torontoNorth,total_received,,applications,
2012_2013,region_torontoEast,total_received,,applications,
2012_2013,region_torontoSouth,total_received,,applications,
2013_2014,region_central,total_received,8820,applications,
2013_2014,region_eastern,total_received,8329,applications,
2013_2014,region_northern,total_received,3713,applications,
2013_2014,region_southern,total_received,11392,applications,
2013_2014,region_southwestern,total_received,13488,applications,
2013_2014,region_torontoNorth,total_received,11191,applications,
2013_2014,region_torontoEast,total_received,13112,applications,
2013_2014,region_torontoSouth,total_received,11703,applications,
1998_1999,region_central,total_resolved,8393,applications,
1998_1999,region_eastern,total_resolved,9551,applications,
1998_1999,region_northern,total_resolved,2098,applications,
1998_1999,region_southern,total_resolved,8537,applications,
1998_1999,region_southwestern,total_resolved,10665,applications,
1998_1999,region_torontoNorth,total_resolved,8120,applications,
1998_1999,region_torontoEast,total_resolved,10617,applications,
1998_1999,region_torontoSouth,total_resolved,14350,applications,
1999_2000,region_central,total_resolved,7449,applications,
1999_2000,region_eastern,total_resolved,9664,applications,
1999_2000,region_northern,total_resolved,2079,applications,
1999_2000,region_southern,total_resolved,9120,applications,
1999_2000,region_southwestern,total_resolved,11118,applications,
1999_2000,region_torontoNorth,total_resolved,7992,applications,
1999_2000,region_torontoEast,total_resolved,10650,applications,
1999_2000,region_torontoSouth,total_resolved,12791,applications,
2000_2001,region_central,total_resolved,8456,applications,
2000_2001,region_eastern,total_resolved,9360,applications,
2000_2001,region_northern,total_resolved,2157,applications,
2000_2001,region_southern,total_resolved,9644,applications,
2000_2001,region_southwestern,total_resolved,12347,applications,
2000_2001,region_torontoNorth,total_resolved,9497,applications,
2000_2001,region_torontoEast,total_resolved,12309,applications,
2000_2001,region_torontoSouth,total_resolved,13176,applications,
2001_2002,region_central,total_resolved,8192,applications,
2001_2002,region_eastern,total_resolved,9503,applications,
2001_2002,region_northern,total_resolved,2569,applications,
2001_2002,region_southern,total_resolved,1050,applications,
2001_2002,region_southwestern,total_resolved,12452,applications,
2001_2002,region_torontoNorth,total_resolved,9917,applications,
2001_2002,region_torontoEast,total_resolved,11898,applications,
2001_2002,region_torontoSouth,total_resolved,13708,applications,
2002_2003,region_central,total_resolved,7323,applications,
2002_2003,region_eastern,total_resolved,8126,applications,
2002_2003,region_northern,total_resolved,2524,applications,
