report_id,period_label,period_order,report_status
2015_2016_FY,2015-16 FY,2015.75,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported
2016_2017_Q4,2016-17 Q4,2016.75,missing_report
2017_2018_Q1,2017-18 Q1,2017.0,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported
2017_2018_Q4,2017-18 Q4,2017.75,reported
2018_2019_Q1,2018-19 Q1,2018.0,missing_report
2018_2019_Q2,2018-19 Q2,2018.25,reported
2018_2019_Q3,2018-19 Q3,2018.5,reported
2018_2019_Q4,2018-19 Q4,2018.75,reported
2019_2020_Q1,2019-20 Q1,2019.0,reported
2019_2020_Q2,2019-20 Q2,2019.25,reported
2019_2020_Q3,2019-20 Q3,2019.5,reported
2019_2020_Q4,2019-20 Q4,2019.75,reported
2020_2021_Q1,2020-21 Q1,2020.0,reported
2020_2021_Q2,2020-21 Q2,2020.25,reported
2020_2021_Q3,2020-21 Q3,2020.5,reported
2020_2021_Q4,2020-21 Q4,2020.75,reported
2021_2022_Q1,2021-22 Q1,2021.0,reported
2021_2022_Q2,2021-22 Q2,2021.25,reported
2021_2022_Q3,2021-22 Q3,2021.5,reported
2021_2022_Q4,2021-22 Q4,2021.75,reported
2022_2023_Q1,2022-23 Q1,2022.0,reported
2022_2023_Q2,2022-23 Q2,2022.25,reported
2022_2023_Q3,2022-23 Q3,2022.5,reported
2022_2023_Q4,2022-23 Q4,2022.75,reported
2023_2024_Q1,2023-24 Q1,2023.0,reported
2023_2024_Q2,2023-24 Q2,2023.25,reported
2023_2024_Q3,2023-24 Q3,2023.5,reported
2023_2024_Q4,2023-24 Q4,2023.75,reported
2024_2025_Q1,2024-25 Q1,2024.0,reported
2024_2025_Q2,2024-25 Q2,2024.25,reported
2024_2025_Q3,2024-25 Q3,2024.5,reported
2024_2025_Q4,2024-25 Q4,2024.75,reported
2025_2026_Q1,2025-26 Q1,2025.0,reported
2025_2026_Q2,2025-26 Q2,2025.25,reported
2025_2026_Q3,2025-26 Q3,2025.5,reported
2025_2026_Q4,2025-26 Q4,2025.75,reported
