report_id,period_label,period_order,report_status,app_combo,app_type,avg_days,performance_standard,percent_in_standard,data_status
2015_2016_FY,2015-16 FY,2015.75,reported,T1,T1,25.31297709923664,30.0,0.0,reported
2015_2016_FY,2015-16 FY,2015.75,reported,T2,T2,25.462296829203304,30.0,0.0799360511590727,reported
2015_2016_FY,2015-16 FY,2015.75,reported,T3,T3,23.140625,30.0,0.0,reported
2015_2016_FY,2015-16 FY,2015.75,reported,T4,T4,,,,not_reported
2015_2016_FY,2015-16 FY,2015.75,reported,T5,T5,30.5906432748538,30.0,0.0,reported
2015_2016_FY,2015-16 FY,2015.75,reported,T6,T6,26.46971569839308,30.0,0.0,reported
2015_2016_FY,2015-16 FY,2015.75,reported,T7,T7,27.727272727272727,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,T1,T1,31.4,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,T2,T2,27.897286821705425,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,T3,T3,31.75,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,T4,T4,,,,not_reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,T5,T5,35.76470588235294,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,T6,T6,30.629441624365484,30.0,0.0,reported
2016_2017_Q1,2016-17 Q1,2016.0,reported,T7,T7,19.0,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,T1,T1,34.89340101522843,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,T2,T2,30.60060975609756,30.0,0.2032520325203252,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,T3,T3,28.066666666666663,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,T4,T4,27.5,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,T5,T5,29.859649122807017,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,T6,T6,32.80444444444444,30.0,0.0,reported
2016_2017_Q2,2016-17 Q2,2016.25,reported,T7,T7,36.333333333333336,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,T1,T1,33.582352941176474,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,T2,T2,30.36756756756757,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,T3,T3,35.5,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,T4,T4,75.25,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,T5,T5,31.056603773584907,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,T6,T6,32.61800486618005,30.0,0.0,reported
2016_2017_Q3,2016-17 Q3,2016.5,reported,T7,T7,32.0,30.0,0.0,reported
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,T1,T1,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,T2,T2,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,T3,T3,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,T4,T4,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,T5,T5,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,T6,T6,,,,missing_report
2016_2017_Q4,2016-17 Q4,2016.75,missing_report,T7,T7,,,,missing_report
2017_2018_Q1,2017-18 Q1,2017.0,reported,T1,T1,29.291666666666668,30.0,47.91666666666667,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,T2,T2,29.020661157024797,30.0,42.56198347107439,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,T3,T3,28.65217391304348,30.0,34.78260869565217,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,T4,T4,20.0,30.0,100.0,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,T5,T5,33.76,30.0,26.0,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,T6,T6,31.766331658291456,30.0,33.91959798994975,reported
2017_2018_Q1,2017-18 Q1,2017.0,reported,T7,T7,27.666666666666668,30.0,33.33333333333333,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,T1,T1,35.77717391304348,30.0,21.195652173913043,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,T2,T2,34.442916093535075,30.0,26.5474552957359,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,T3,T3,31.545454545454547,30.0,27.27272727272727,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,T4,T4,53.0,30.0,0.0,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,T5,T5,38.8235294117647,30.0,15.294117647058824,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,T6,T6,35.93945720250522,30.0,18.997912317327767,reported
2017_2018_Q2,2017-18 Q2,2017.25,reported,T7,T7,36.0,30.0,50.0,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,T1,T1,38.63492063492063,30.0,15.873015873015872,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,T2,T2,37.76422764227642,30.0,19.91869918699187,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,T3,T3,43.0,30.0,14.285714285714285,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,T4,T4,,,,not_reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,T5,T5,40.03225806451613,30.0,16.129032258064516,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,T6,T6,41.513661202185794,30.0,12.568306010928962,reported
2017_2018_Q3,2017-18 Q3,2017.5,reported,T7,T7,,,,not_reported
2017_2018_Q4,2017-18 Q4,2017.75,reported,T1,T1,40.56544502617801,30.0,10.99476439790576,reported
2017_2018_Q4,2017-18 Q4,2017.75,reported,T2,T2,38.90181268882175,30.0,14.501510574018129,reported
2017_2018_Q4,2017-18 Q4,2017.75,reported,T3,T3,44.94117647058823,30.0,0.0,reported
2017_2018_Q4,2017-18 Q4,2017.75,reported,T4,T4,29.0,30.0,0.0,reported
2017_2018_Q4,2017-18 Q4,2017.75,reported,T5,T5,46.0,30.0,12.162162162162163,reported
2017_2018_Q4,2017-18 Q4,2017.75,reported,T6,T6,43.369565217391305,30.0,7.82608695652174,reported
2017_2018_Q4,2017-18 Q4,2017.75,reported,T7,T7,76.0,30.0,0.0,reported
2018_2019_Q1,2018-19 Q1,2018.0,missing_report,T1,T1,,,,missing_report
2018_2019_Q1,2018-19 Q1,2018.0,missing_report,T2,T2,,,,missing_report
2018_2019_Q1,2018-19 Q1,2018.0,missing_report,T3,T3,,,,missing_report
2018_2019_Q1,2018-19 Q1,2018.0,missing_report,T4,T4,,,,missing_report
2018_2019_Q1,2018-19 Q1,2018.0,missing_report,T5,T5,,,,missing_report
2018_2019_Q1,2018-19 Q1,2018.0,missing_report,T6,T6,,,,missing_report
2018_2019_Q1,2018-19 Q1,2018.0,missing_report,T7,T7,,,,missing_report
2018_2019_Q2,2018-19 Q2,2018.25,reported,T1,T1,43.573991031390136,30.0,6.278026905829597,reported
2018_2019_Q2,2018-19 Q2,2018.25,reported,T2,T2,40.01960784313726,30.0,18.30065359477124,reported
2018_2019_Q2,2018-19 Q2,2018.25,reported,T3,T3,48.86666666666667,30.0,0.0,reported
2018_2019_Q2,2018-19 Q2,2018.25,reported,T4,T4,36.0,30.0,0.0,reported
2018_2019_Q2,2018-19 Q2,2018.25,reported,T5,T5,45.811764705882354,30.0,5.88235294117647,reported
2018_2019_Q2,2018-19 Q2,2018.25,reported,T6,T6,44.75416666666667,30.0,6.875000000000001,reported
2018_2019_Q2,2018-19 Q2,2018.25,reported,T7,T7,46.66666666666666,30.0,0.0,reported
2018_2019_Q3,2018-19 Q3,2018.5,reported,T1,T1,46.16494845360825,30.0,7.216494845360824,reported
2018_2019_Q3,2018-19 Q3,2018.5,reported,T2,T2,42.53092006033182,30.0,14.328808446455504,reported
2018_2019_Q3,2018-19 Q3,2018.5,reported,T3,T3,44.5,30.0,6.25,reported
2018_2019_Q3,2018-19 Q3,2018.5,reported,T4,T4,,,,not_reported
2018_2019_Q3,2018-19 Q3,2018.5,reported,T5,T5,48.483870967741936,30.0,3.225806451612903,reported
2018_2019_Q3,2018-19 Q3,2018.5,reported,T6,T6,45.76119402985075,30.0,8.742004264392325,reported
2018_2019_Q3,2018-19 Q3,2018.5,reported,T7,T7,,,,not_reported
2018_2019_Q4,2018-19 Q4,2018.75,reported,T1,T1,47.8390243902439,30.0,8.780487804878048,reported
2018_2019_Q4,2018-19 Q4,2018.75,reported,T2,T2,42.16765578635015,30.0,14.094955489614245,reported
2018_2019_Q4,2018-19 Q4,2018.75,reported,T3,T3,48.76,30.0,16.0,reported
2018_2019_Q4,2018-19 Q4,2018.75,reported,T4,T4,,,,not_reported
2018_2019_Q4,2018-19 Q4,2018.75,reported,T5,T5,49.136986301369866,30.0,9.58904109589041,reported
2018_2019_Q4,2018-19 Q4,2018.75,reported,T6,T6,47.10940919037199,30.0,7.439824945295405,reported
2018_2019_Q4,2018-19 Q4,2018.75,reported,T7,T7,,,,not_reported
2019_2020_Q1,2019-20 Q1,2019.0,reported,T1,T1,48.90721649484536,30.0,4.123711340206185,reported
2019_2020_Q1,2019-20 Q1,2019.0,reported,T2,T2,45.3385269121813,30.0,9.06515580736544,reported
2019_2020_Q1,2019-20 Q1,2019.0,reported,T3,T3,97.91428571428573,30.0,5.714285714285714,reported
2019_2020_Q1,2019-20 Q1,2019.0,reported,T4,T4,,,,not_reported
2019_2020_Q1,2019-20 Q1,2019.0,reported,T5,T5,45.66315789473684,30.0,3.1578947368421053,reported
2019_2020_Q1,2019-20 Q1,2019.0,reported,T6,T6,47.10189573459716,30.0,2.843601895734597,reported
2019_2020_Q1,2019-20 Q1,2019.0,reported,T7,T7,53.333333333333336,30.0,0.0,reported
2019_2020_Q2,2019-20 Q2,2019.25,reported,T1,T1,55.715555555555554,30.0,3.555555555555556,reported
2019_2020_Q2,2019-20 Q2,2019.25,reported,T2,T2,53.92619047619048,30.0,5.952380952380952,reported
2019_2020_Q2,2019-20 Q2,2019.25,reported,T3,T3,63.46153846153846,30.0,0.0,reported
2019_2020_Q2,2019-20 Q2,2019.25,reported,T4,T4,38.0,30.0,0.0,reported
2019_2020_Q2,2019-20 Q2,2019.25,reported,T5,T5,66.65686274509804,30.0,2.941176470588235,reported
