report_id,period_label,report_type,series_id,app_combo,avg_days,source_file
2015_2016_FY,2015-16 FY,FY,A1_L,A1,5.638297872340425,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A1_L/A2_L,A1/A2,2.5,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A1_L/L1/L2,A1/L1/L2,4.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A1_L/L2,A1/L2,2.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L,A2,15.797297297297296,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L/L1,A2/L1,7.142857142857143,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L/L1/L2,A2/L1/L2,3.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L/L2,A2/L2,10.8,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L/L2/L3,A2/L2/L3,2.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L/L2/L9,A2/L2/L9,6.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L/L3,A2/L3,3.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L/L3/L9,A2/L3/L9,1.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_L/L9,A2/L9,2.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A4_L,A4,36.198412698412696,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1,L1,3.535184085510689,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L2,L1/L2,4.740772168010182,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L2/L3,L1/L2/L3,5.318181818181818,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L2/L8,L1/L2/L8,6.043478260869565,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L2/L8/L9,L1/L2/L8/L9,1.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L2/L9,L1/L2/L9,6.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L3,L1/L3,4.338461538461538,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L3/L8,L1/L3/L8,11.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L8,L1/L8,2.3333333333333335,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/L9,L1/L9,2.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L1/T2/T6,L1/T2/T6,1.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L2,L2,5.1467381260395495,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L2/L3,L2/L3,4.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L2/L3/L8/L9,L2/L3/L8/L9,2.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L2/L3/L9,L2/L3/L9,6.2727272727272725,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L2/L8,L2/L8,3.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L2/L8/L9,L2/L8/L9,5.666666666666667,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L2/L9,L2/L9,5.355828220858895,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L3,L3,4.028880866425993,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L3/L8,L3/L8,7.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L3/L9,L3/L9,4.354838709677419,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L4,L4,4.865757358219669,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L4/L9,L4/L9,1.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L5,L5,25.096858638743456,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L6,L6,7.111111111111111,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L8,L8,2.857142857142857,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L9,L9,3.9055727554179565,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A1_T,A1,15.26923076923077,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A1_T/T1,A1/T1,2.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A1_T/T1/T5,A1/T1/T5,2.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A1_T/T2,A1/T2,21.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A1_T/T2/T3/T6,A1/T2/T3/T6,42.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_T,A2,11.69047619047619,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_T/T1,A2/T1,9.6,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_T/T2,A2/T2,18.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_T/T2/T3/T6,A2/T2/T3/T6,43.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_T/T2/T6,A2/T2/T6,6.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_T/T3,A2/T3,1.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,A2_T/T6,A2/T6,14.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,L9/T6,L9/T6,11.0,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
2015_2016_FY,2015-16 FY,FY,T1,T1,7.7975308641975305,24 1 2015-04-01_2016-03-31 LTBAvgDayHearingOrder April2015-March2016_FY.xlsx
