application_family,description,party_type,total_filings,first_year,first_year_filings,first_year_share,last_year,last_year_filings,last_year_share,share_point_change,filing_count_change,peak_share_year,peak_share
L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,1263816,1999_2000,47121,0.7263128689674306,2024_2025,45435,0.519637220366897,-0.20667564860053367,-1686,2004_2005,0.7463501943446378
L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,236848,1999_2000,6347,0.09783128073122986,2024_2025,15838,0.18113820394345578,0.08330692321222592,9491,2020_2021,0.22780967328900087
A3,Combined Application,mixed_other,109613,1999_2000,3209,0.04946282966228401,2024_2025,3727,0.0426254631959376,-0.00683736646634641,518,2014_2015,0.07427199114821707
L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,108428,1999_2000,1016,0.015660403532839064,2024_2025,6613,0.0756324626012169,0.059972059068377825,5597,2008_2009,0.07583876980428704
T2,Tenant Rights,tenant,84585,1999_2000,2627,0.04049200795351203,2024_2025,3480,0.039800539823413694,-0.0006914681300983355,853,2020_2021,0.06494981619924828
L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,38934,1999_2000,1461,0.022519536969958537,2024_2025,2648,0.03028500846333318,0.007765471493374643,1187,2021_2022,0.03709345476348669
T6,Maintenance,tenant,37152,1999_2000,0,0.0,2024_2025,2110,0.02413193650212727,0.02413193650212727,2110,2020_2021,0.03706992689273471
L9,Collect Rent the Tenant Owes,landlord,24994,1999_2000,0,0.0,2024_2025,900,0.010293243057779405,0.010293243057779405,900,2015_2016,0.02372651802061649
T1,Application for a Rebate,tenant,19254,1999_2000,601,0.009263683585862478,2024_2025,1618,0.018504963630541195,0.009241280044678717,1017,2024_2025,0.018504963630541195
L5,Rent Increase Above the Guideline (AGI),landlord,13419,1999_2000,399,0.0061500994189003805,2024_2025,1028,0.011757170959330253,0.005607071540429873,629,2001_2002,0.022237983978638184
A2,Sublet or an Assignment,mixed_other,9808,1999_2000,354,0.005456479183686052,2024_2025,840,0.009607026853927444,0.004150547670241392,486,2024_2025,0.009607026853927444
T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,7454,1999_2000,85,0.001310171555404843,2024_2025,941,0.01076215746374491,0.009451985908340068,856,2022_2023,0.014635484534668404
L10,Collect Money a Former Tenant Owes,landlord,4013,1999_2000,0,0.0,2024_2025,1757,0.020094697836131572,0.020094697836131572,1757,2024_2025,0.020094697836131572
T3,Rent Reduction,tenant,3451,1999_2000,1258,0.019390539019991677,2024_2025,142,0.0016240450157829728,-0.017766494004208704,-1116,1999_2000,0.019390539019991677
A1,Determine Whether the Act Applies,mixed_other,3300,1999_2000,87,0.0013409991214143686,2024_2025,256,0.002927855803101697,0.0015868566816873285,169,2022_2023,0.003456553048487758
A4,Vary the Amount of a Rent Reduction,mixed_other,3281,1999_2000,215,0.0033139633460240146,2024_2025,14,0.00016011711423212407,-0.0031538462317918904,-201,2002_2003,0.004095833700343521
L8,Tenant Changed the Locks,landlord,931,1999_2000,71,0.001094378593338163,2024_2025,43,0.0004917882794272382,-0.0006025903139109247,-28,2000_2001,0.0012768955293979512
L6,Review of a Work Order about Provincial Maintenance Standards,landlord,243,1999_2000,26,0.0004007583581238343,2024_2025,0,0.0,-0.0004007583581238343,-26,2000_2001,0.0004403088032406728
L7,Transfer a Care Home Tenant,landlord,165,1999_2000,0,0.0,2024_2025,4,4.574774692346402e-05,4.574774692346402e-05,4,2001_2002,0.0016688918558077437
T7,Suite Meters,tenant,119,1999_2000,0,0.0,2024_2025,13,0.00014868017750125807,0.00014868017750125807,13,2015_2016,0.0002884301873542174
T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,116,1999_2000,0,0.0,2024_2025,29,0.0003316711651951141,0.0003316711651951141,29,2022_2023,0.0003429120087785474
