report_id,application_family,description,party_type,filings,share_of_total
1999_2000,A1,Determine Whether the Act Applies,mixed_other,87,0.0013409991214143686
1999_2000,A2,Sublet or an Assignment,mixed_other,354,0.005456479183686052
1999_2000,A3,Combined Application,mixed_other,3209,0.04946282966228401
1999_2000,A4,Vary the Amount of a Rent Reduction,mixed_other,215,0.0033139633460240146
1999_2000,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,47121,0.7263128689674306
1999_2000,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
1999_2000,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,6347,0.09783128073122986
1999_2000,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1461,0.022519536969958537
1999_2000,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,1016,0.015660403532839064
1999_2000,L5,Rent Increase Above the Guideline (AGI),landlord,399,0.0061500994189003805
1999_2000,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,26,0.0004007583581238343
1999_2000,L7,Transfer a Care Home Tenant,landlord,0,0.0
1999_2000,L8,Tenant Changed the Locks,landlord,71,0.001094378593338163
1999_2000,L9,Collect Rent the Tenant Owes,landlord,0,0.0
1999_2000,T1,Application for a Rebate,tenant,601,0.009263683585862478
1999_2000,T2,Tenant Rights,tenant,2627,0.04049200795351203
1999_2000,T3,Rent Reduction,tenant,1258,0.019390539019991677
1999_2000,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,0,0.0
1999_2000,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,85,0.001310171555404843
1999_2000,T6,Maintenance,tenant,0,0.0
1999_2000,T7,Suite Meters,tenant,0,0.0
2000_2001,A1,Determine Whether the Act Applies,mixed_other,61,0.000895294566589368
2000_2001,A2,Sublet or an Assignment,mixed_other,369,0.005415798279860275
2000_2001,A3,Combined Application,mixed_other,3646,0.05351219655384977
2000_2001,A4,Vary the Amount of a Rent Reduction,mixed_other,148,0.0021721900959873193
2000_2001,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,48646,0.7139754014148589
2000_2001,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2000_2001,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,7052,0.10350192268177415
2000_2001,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1447,0.02123756127630845
2000_2001,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,1288,0.018903924619132886
2000_2001,L5,Rent Increase Above the Guideline (AGI),landlord,608,0.008923591745677636
2000_2001,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,30,0.0004403088032406728
2000_2001,L7,Transfer a Care Home Tenant,landlord,0,0.0
2000_2001,L8,Tenant Changed the Locks,landlord,87,0.0012768955293979512
2000_2001,L9,Collect Rent the Tenant Owes,landlord,0,0.0
2000_2001,T1,Application for a Rebate,tenant,616,0.009041007426541814
2000_2001,T2,Tenant Rights,tenant,2788,0.04091936478116653
2000_2001,T3,Rent Reduction,tenant,269,0.003948102269058033
2000_2001,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,2,2.9353920216044852e-05
2000_2001,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,101,0.001482372970910265
2000_2001,T6,Maintenance,tenant,976,0.014324713065429888
2000_2001,T7,Suite Meters,tenant,0,0.0
2001_2002,A1,Determine Whether the Act Applies,mixed_other,78,0.0010847797062750334
2001_2002,A2,Sublet or an Assignment,mixed_other,427,0.005938473520249221
2001_2002,A3,Combined Application,mixed_other,3740,0.052013796172674674
2001_2002,A4,Vary the Amount of a Rent Reduction,mixed_other,174,0.0024198931909212283
2001_2002,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,49590,0.68966955941255
2001_2002,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2001_2002,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,8006,0.11134290164663996
2001_2002,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1447,0.020124054294615043
2001_2002,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,1482,0.020610814419225635
2001_2002,L5,Rent Increase Above the Guideline (AGI),landlord,1599,0.022237983978638184
2001_2002,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,22,0.00030596350689808636
