report_id,total_filings,landlord_filings,tenant_filings,mixed_other_filings,other_filings,landlord_share,tenant_share,mixed_other_share,l1_filings,l1_share
1999_2000,64877,56441,4571,3865,0,0.8699693265718205,0.07045640211477103,0.05957427131340845,47121,0.7263128689674306
2000_2001,68134,59158,4752,4224,0,0.8682596060703907,0.06974491443332256,0.061995479496286726,48646,0.7139754014148589
2001_2002,71904,62339,5146,4419,0,0.8669754116599911,0.07156764574988873,0.06145694259012016,49590,0.68966955941255
2002_2003,68118,58571,5171,4376,0,0.8598461493291054,0.07591238732787223,0.0642414633430224,48816,0.7166387738923633
2003_2004,70004,60389,5278,4337,0,0.8626507056739615,0.07539569167476144,0.06195360265127707,51207,0.7314867721844466
2004_2005,74867,65573,5052,4242,0,0.8758598581484499,0.06747966393738229,0.05666047791416779,55877,0.7463501943446378
2005_2006,81000,71010,5575,4415,0,0.8766666666666667,0.06882716049382716,0.05450617283950617,60446,0.7462469135802469
2006_2007,68123,59709,4747,3667,0,0.8764881170823363,0.0696827796779355,0.053829103239728136,50683,0.7439924841830219
2007_2008,80552,70867,5291,4394,0,0.8797671069619625,0.06568427847849836,0.05454861455953918,55719,0.6917146687853809
2008_2009,85840,75312,5925,4603,0,0.8773532152842498,0.0690237651444548,0.053623019571295436,59053,0.6879426840633737
2009_2010,78072,68114,5466,4492,0,0.8724510708064351,0.07001229634183831,0.05753663285172661,54109,0.6930653755507736
2010_2011,77393,67144,5451,4798,0,0.8675720026358973,0.07043272647397052,0.06199527089013218,53182,0.6871680901373509
2011_2012,81084,69833,5596,5655,0,0.8612426619308372,0.06901484879877658,0.06974248927038626,54847,0.6764219821419762
2012_2013,82192,70625,5705,5862,0,0.8592685419505548,0.06941064823827137,0.07132080981117384,54777,0.6664517227954059
2013_2014,81748,69544,5801,6403,0,0.8507119440230954,0.07096198072124088,0.07832607525566375,52832,0.6462788080442335
2014_2015,79532,67136,5922,6474,0,0.8441382085198411,0.07446059447769451,0.08140119700246441,49991,0.6285646029271237
2015_2016,79742,67087,6510,6145,0,0.8413006947405383,0.08163828346417196,0.07706102179528981,48940,0.6137292769180608
2016_2017,81450,68637,6506,6307,0,0.8426887661141805,0.07987722529158993,0.0774340085942296,49489,0.6075997544505832
2017_2018,80249,67985,5790,6474,0,0.847175665740383,0.07215043178108138,0.08067390247853556,47595,0.5930915026978529
2018_2019,81825,69429,6394,6002,0,0.8485059578368469,0.07814237702413687,0.0733516651390162,46043,0.5627008860372746
2019_2020,80874,69087,6365,5422,0,0.8542547666740856,0.0787026732942602,0.06704256003165418,44621,0.5517347973390706
2020_2021,48422,39994,6053,2375,0,0.8259468836479287,0.12500516294246417,0.0490479534096072,24481,0.5055759778613027
2021_2022,61709,52595,6247,2867,0,0.8523067947949245,0.10123320747378826,0.04645999773128717,31240,0.5062470628271403
2022_2023,72905,61326,6897,4682,0,0.841176874014128,0.09460256498182566,0.06422056100404636,37690,0.5169741444345382
2023_2024,81872,69620,7587,4665,0,0.8503517686144225,0.09266904436193082,0.05697918702364667,41386,0.5054963846003517
2024_2025,87436,74266,8333,4837,0,0.8493755432544947,0.09530399377830642,0.05532046296719886,45435,0.519637220366897
