report_id,cases,case_yoy_change,case_yoy_pct_change,defaults,default_rate,hearings,hearing_rate,time_per_hearing,hearing_time_minutes
1999_2000,399.0,,,0.0,0.0,420.0,1.0526315789473684,,
2000_2001,608.0,209.0,0.5238095238095238,2.0,0.003289473684210526,635.0,1.044407894736842,240.0,
2001_2002,1599.0,991.0,1.6299342105263157,1.0,0.0006253908692933083,907.0,0.5672295184490307,240.0,
2002_2003,471.0,-1128.0,-0.7054409005628518,1.0,0.0021231422505307855,1253.0,2.6602972399150744,,
2003_2004,292.0,-179.0,-0.38004246284501064,2.0,0.00684931506849315,457.0,1.5650684931506849,,
2004_2005,274.0,-18.0,-0.06164383561643835,0.0,0.0,251.0,0.916058394160584,,
2005_2006,209.0,-65.0,-0.23722627737226276,0.0,0.0,229.0,1.0956937799043063,,
2006_2007,242.0,33.0,0.15789473684210525,0.0,0.0,245.0,1.012396694214876,,
2007_2008,274.0,32.0,0.1322314049586777,,,,,,
2008_2009,228.0,-46.0,-0.1678832116788321,,,,,,
2009_2010,294.0,66.0,0.2894736842105263,,,,,,
2010_2011,391.0,97.0,0.3299319727891156,,,,,,
2011_2012,252.0,-139.0,-0.3554987212276215,,,,,,
2012_2013,296.0,44.0,0.1746031746031746,,,,,,
2013_2014,438.0,142.0,0.4797297297297297,,,,,,
2014_2015,548.0,110.0,0.2511415525114155,,,,,,
2015_2016,433.0,-115.0,-0.20985401459854014,,,,,,
2016_2017,575.0,142.0,0.3279445727482679,,,,,,
2017_2018,559.0,-16.0,-0.02782608695652174,,,,,,
2018_2019,717.0,158.0,0.2826475849731664,,,,,,
2019_2020,758.0,41.0,0.05718270571827057,,,,,,
2020_2021,404.0,-354.0,-0.46701846965699206,,,,,,
2021_2022,613.0,209.0,0.5173267326732673,,,,,,
2022_2023,605.0,-8.0,-0.013050570962479609,,,,,,
2023_2024,912.0,307.0,0.5074380165289256,,,,,,
2024_2025,1028.0,116.0,0.12719298245614036,,,,,,
