family,description,total_filings,share_of_all_cases
L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,1263816,0.6415557148397603
L2,End a Tenancy and Evict a Tenant or Collect Money,236848,0.12023204956130287
A3,Combined Application,109613,0.055643263394933
L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,108428,0.055041717345440735
T2,Tenant Rights,84585,0.04293820472261874
L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,38934,0.019764214253950915
T6,Maintenance,37152,0.018859610827625838
L9,Collect Rent the Tenant Owes,24994,0.012687799123214905
T1,Application for a Rebate,19254,0.00977398112820596
L5,Rent Increase Above the Guideline (AGI),13419,0.006811937922478227
A2,Sublet or an Assignment,9808,0.0049788722813672
T5,Landlord Gave a Notice of Termination in Bad Faith,7454,0.003783902323135309
L10,Collect Money a Former Tenant Owes,4013,0.002037134427521062
T3,Rent Reduction,3451,0.001751844233584646
A1,Determine Whether the Act Applies,3300,0.001675191530231623
