report_id,region_id,office_code,app_combo,app_type,avg_days,performance_standard,percent_in_standard,source_file
2015_2016,province_average,Prov / Avg.,A1,A1_L,25.6865671641791,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/A2,A1_L,18,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/A2,A2_L,18,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/L1/L2,A1_L,24,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/L1/L2,L1,24,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/L1/L2,L2,24,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/L9,A1_L,43,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/L9,L9,43,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/T2,A1_L,13,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A1/T2,T2,13,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A2,A2_L,22.5982532751092,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
2015_2016,province_average,Prov / Avg.,A2/L1,A2_L,21.6,30,0,22 1 2015-04-01_2016-3-31 LTBAvgDayFirstHearing April2015-March2016.xlsx
