canonical_name,variants
Alan Mervin,Alan B. Mervin
Andi Shi,Andi Shi
Andreas Von Cramon,Andreas von Cramon
Angela McReelis,Angela McReelis
Anita Louse Horton,Anita Louse Horton
Ashis Basu,Ashis Basu
Babatunde Olokun,Babatunde Olokun
Beatrice Metzler,Beatrice Metzler
Beverley J. Reade,Beverley J. Reade
Beverly Moore,Beverly Moore
Bittu George,Bittu George; Bittu Kurian George
Brad Wallace,Brad J. Wallace
Braham T. Kapal,Braham T. Kapal
Brenna Homeniuk,Brenna Homeniuk
Brian Cormier,Brian A. Cormier
Brian Rodenhurst,Brian L. Rodenhurst
Brian McKee,Brian McKee
Brian Nicholson,Brian Nicholson
Caroline King,Caroline A. A. King
Catherine Keleher,Catherine Keleher
Catherine Skinner,Catherine Skinner
Cathryn Forbes,Cathryn Forbes
Charles Gascoyne,Charles Gascoyne
Chisanga Puta-Chekwe,Chisanga Puta-Chekwe
Chris Braney,Chris Braney
Christina Budweth Mingay,Christina Budweth Mingay
Christopher Trueman,Christopher Trueman
Claudette Leslie,Claudette Leslie
Connie Holmes,Connie Holmes
Cynthia Summers,Cynthia Lynn Summers
Dan Helsberg,Dan Helsberg
David Braund,David Braund
David G. Timms,David G. Timms
David Horrox,David Horrox
David Hutcheon,David Hutcheon
David Gregory,David J. Gregory
David Wright,David R. Wright
Debra Mattina,Debra Mattina
Dennis McKaig,Dennis C. McKaig
Diane Tinker,Diane L. Tinker
Donald Macvicar,Donald MacVicar
Donna McGavin,Donna Mcgavin
Edward Lee,Edward Lee
Egya Sangmuah,Egya Ndayinanse Sangmuah
Eli Fellman,Eli Fellman
Elizabeth Beckett,Elizabeth Beckett
Elizabeth Brown,Elizabeth Brown
Elizabeth Leighton,Elizabeth Leighton
Elke Homsi,Elki Homsi
Freda Shamatutu,Freda Shamatutu
George Taylor,George Taylor
Gerald Taylor,Gerald Douglas Taylor
Gerald Naud,Gerald Naud
Gilles Guénette,Gilles Guénette
Greg Joy,Greg Joy
Guy Savoie,Guy Savioe; Guy William Savoie
Harry Fine,Harry Fine
Ian MacInnis,Ian Macinnis
Ieva Martin,Ieva Martin
Ina Maher,Ina Maher
J. Steven McCutcheon,J. Steven Mccutcheon
Jim McMaster,James Grant McMaster
Jana Rozehnal,Jana Rozehnal
Janet Davies,Janet Davies
Janice MacGuigan,Janice MacGuigan
Jean-Paul Pilon,Jean-Paul Pilon
Jeanie Theoharis,Jeanie Theoharis
Jeffrey Rogers,Jeffrey Rogers
Jessica Kowalski,Jessica Kowalski
Jim Brown,Jim Brown
John Goodchild,John Goodchild
John Nolan,John Nolan
Jonelle Van Delft,Jonelle Elizabeth van Delft; Jonelle van Delft
Joseph A. Berkovits,Joseph A. Berkovits
Judy Ireland,Judy Ireland
Julius Suraski,Julius Suraski
Karen Wallace,Karen Wallace
Karol Wronecki,Karol Wronecki
Kenneth Jepson,Kenneth Jepson
Kim Bugby,Kim E. Bugby
Knox Henry,Knox Henry
Laurie Koch,Laurie Koch
Lilian Ma,Lilian Yan Yan Ma; Dr. Lilian Yan Yan Ma; Dr. Lilian Ma
Linda Joss,Linda Joss
Lisa M. Stevens,Lisa M. Stevens
Lloyd Phillipps,Lloyd Phillipps
Lola Fabowalé,Lola Fabowalé
Louis Bourgon,Louis Bourgon
Lynn Neil,Lynn Neil
Elizabeth Usprich,Marian Elizabeth Usprich
Mary Lee,Mary Lee
Michael Soo,Michael G. Soo
Michael van Dusen,Michael van Dusen
Michelle M. Lomazzo,Michelle M. Lomazzo
Mike Welsh,Mike Welsh
Murray Wm. Graham,Murray William Graham
Najib Tahiri,Najibullah Tahiri
Nancy Fahlgren,Nancy Fahlgren
Nancy Savage,Nancy Savage
Nicholas Pustina,Nicholas John Pustina
Nina Stanwick,Nina Stanwick
Olga Luftig,Olga Luftig
Patrice C. Noé,Patrice C. Noé
Patricia Greenside,Patricia Greenside
Paul De Buono,Paul De Buono
Paul Lummiss,Paul Lummiss
Pearl Gréwal,Pearl Gréwal
Petar Guzina,Petar Guzina
Peter Spadzinski,Peter Spadzinski
Pina Sauro,Pina Sauro
Régent Gagnon,Régent P. Gagnon; Regent Gagnon
Richard Feldman,Richard A. Feldman
Richard Cantin,Richard Cantin
Richard Corcelli,Richard Corcelli
Richard Ittleman,Richard Ittleman
Robert Côté,Robert Côté
Robert Gleeson,Robert Gleeson
Romuald Kwolek,Romuald Kwolek
Rosa Votta,Rosa Votta
Ruth Carey,Ruth Carey
Scott N.F. Mcneil,Scott N.F. Mcneil
Sean Henry,Sean Henry
Shawn Hayman,Shawn Hayman
Shehnaz Alidina,Shehnaz Alidina
Sherry Senis,Sherry Ruth Senis; Sheryl Ruth Senis
Shirley Jean Collins,Shirley Jean Collins
Sonia Light,Sonia Light
Stanley Chapman,Stanley Chapman
Stephan M. Kozak,Stephan M. Kozak
Steven McCutcheon,Steve McCutcheon
Steven J. Faughnan,Steven J. Faughnan
Suparna Ghosh,Suparna Ghosh
Susan Ellacott,Susan Ellacott
Suzy Franklyn,Suzy Franklyn
Sylvia Nancy Watson,Sylvia Nancy Watson
Tom McDermott,Tom Mcdermott
Valarie Steele,Valarie Steele
Wayne MacKinnon,Vernon Wayne MacKinnon
Vincent Ching,Vincent Ching
Enza Buffa,Vincenza Buffa
William Burke,William Burke
William Weissglas,William Weissglas
Yasmeen Siddiqui,Yasmeen Siddiqui
