source_file,line_number,raw_line,cleaned_name,metadata
1999_00_text.txt,3,Chisanga Puta-Chekwe,Chisanga Puta-Chekwe,
1999_00_text.txt,4,"Chisanga Puta-Chekwe attended Sir William Borlase School in Marlow,","Chisanga Puta-Chekwe attended Sir William Borlase School in Marlow,",
1999_00_text.txt,28,David Braund,David Braund,
1999_00_text.txt,39,Gilles Guénette,Gilles Guénette,
1999_00_text.txt,52,Connie Holmes,Connie Holmes,
1999_00_text.txt,64,Mary Lee,Mary Lee,
1999_00_text.txt,73,Beverly Moore,Beverly Moore,
1999_00_text.txt,82,Shehnaz Alidina (Part-Time Member),Shehnaz Alidina,Part-Time Member
1999_00_text.txt,92,Chris Braney,Chris Braney,
1999_00_text.txt,109,Jim Brown,Jim Brown,
1999_00_text.txt,120,Stanley Chapman (Part-Time Member),Stanley Chapman,Part-Time Member
1999_00_text.txt,126,Andreas von Cramon,Andreas von Cramon,
1999_00_text.txt,134,Janet Davies,Janet Davies,
1999_00_text.txt,143,Lola Fabowalé,Lola Fabowalé,
1999_00_text.txt,159,Nancy Fahlgren,Nancy Fahlgren,
1999_00_text.txt,167,Steven J. Faughnan,Steven J. Faughnan,
1999_00_text.txt,176,Richard A. Feldman,Richard A. Feldman,
1999_00_text.txt,185,Charles Gascoyne,Charles Gascoyne,
1999_00_text.txt,190,John Goodchild,John Goodchild,
1999_00_text.txt,200,Murray Wm. Graham,Murray Wm. Graham,
1999_00_text.txt,207,Patricia Greenside,Patricia Greenside,
1999_00_text.txt,214,David J. Gregory,David J. Gregory,
1999_00_text.txt,222,Shawn Hayman,Shawn Hayman,
1999_00_text.txt,232,Knox Henry (Part-Time Member),Knox Henry,Part-Time Member
1999_00_text.txt,240,David Horrox,David Horrox,
1999_00_text.txt,250,Richard Ittleman,Richard Ittleman,
1999_00_text.txt,261,Linda Joss,Linda Joss,
1999_00_text.txt,275,Braham T. Kapal,Braham T. Kapal,
1999_00_text.txt,282,Laurie Koch,Laurie Koch,
1999_00_text.txt,295,Stephan M. Kozak,Stephan M. Kozak,
1999_00_text.txt,301,Romuald Kwolek (Part-Time Member),Romuald Kwolek,Part-Time Member
1999_00_text.txt,308,Edward Lee (Part-Time Member),Edward Lee,Part-Time Member
1999_00_text.txt,313,Sonia Light,Sonia Light,
1999_00_text.txt,324,Paul Lummiss,Paul Lummiss,
1999_00_text.txt,329,Ian MacInnis,Ian MacInnis,
1999_00_text.txt,340,Donald MacVicar,Donald MacVicar,
1999_00_text.txt,348,J. Steven McCutcheon,J. Steven McCutcheon,
1999_00_text.txt,357,Tom McDermott,Tom McDermott,
1999_00_text.txt,363,Donna McGavin,Donna McGavin,
1999_00_text.txt,368,Brian L. Rodenhurst,Brian L. Rodenhurst,
1999_00_text.txt,375,Jeffrey Rogers,Jeffrey Rogers,
1999_00_text.txt,382,Nancy Savage,Nancy Savage,
1999_00_text.txt,389,Sherry Ruth Senis,Sherry Ruth Senis,
1999_00_text.txt,402,Catherine Skinner,Catherine Skinner,
1999_00_text.txt,409,Cynthia Lynn Summers,Cynthia Lynn Summers,
1999_00_text.txt,421,Julius Suraski (Part-Time Member),Julius Suraski,Part-Time Member
1999_00_text.txt,435,David G. Timms,David G. Timms,
1999_00_text.txt,443,Diane L. Tinker,Diane L. Tinker,
1999_00_text.txt,452,David Wright,David Wright,
1999_00_text.txt,461,Karol Wronecki,Karol Wronecki,
2002_03_text.txt,1,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,8,Chisanga Puta-Chekwe,Chisanga Puta-Chekwe,
2002_03_text.txt,9,"Chisanga Puta-Chekwe attended Sir William Borlase School in Marlow, Buckinghamshire,","Chisanga Puta-Chekwe attended Sir William Borlase School in Marlow, Buckinghamshire,",
2002_03_text.txt,28,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,33,Charles Gascoyne,Charles Gascoyne,
2002_03_text.txt,38,Gilles Guénette,Gilles Guénette,
2002_03_text.txt,48,Connie Holmes,Connie Holmes,
2002_03_text.txt,60,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,63,Mary Lee,Mary Lee,
2002_03_text.txt,71,Beverly Moore,Beverly Moore,
2002_03_text.txt,77,Jeffrey Rogers,Jeffrey Rogers,
2002_03_text.txt,87,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,92,Ashis Basu,Ashis Basu,
2002_03_text.txt,106,Elizabeth Beckett,Elizabeth Beckett,
2002_03_text.txt,112,Jim Brown,Jim Brown,
2002_03_text.txt,124,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,127,Elizabeth Brown,Elizabeth Brown,
2002_03_text.txt,135,Stanley Chapman,Stanley Chapman,
2002_03_text.txt,141,Robert Côté,Robert Côté,
2002_03_text.txt,148,Susan Ellacott,Susan Ellacott,
2002_03_text.txt,159,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,162,Nancy Fahlgren,Nancy Fahlgren,
2002_03_text.txt,169,Richard Feldman,Richard Feldman,
2002_03_text.txt,178,Harry Fine,Harry Fine,
2002_03_text.txt,194,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,197,Robert Gleeson,Robert Gleeson,
2002_03_text.txt,215,John Goodchild,John Goodchild,
2002_03_text.txt,222,Murray Wm. Graham,Murray Wm. Graham,
2002_03_text.txt,231,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,234,David Gregory,David Gregory,
2002_03_text.txt,243,Knox Henry,Knox Henry,
2002_03_text.txt,252,David Hutcheon,David Hutcheon,
2002_03_text.txt,268,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,271,Linda Joss,Linda Joss,
2002_03_text.txt,283,Catherine Keleher,Catherine Keleher,
2002_03_text.txt,298,Edward Lee,Edward Lee,
2002_03_text.txt,306,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,309,Sonia Light,Sonia Light,
2002_03_text.txt,317,Paul Lummiss,Paul Lummiss,
2002_03_text.txt,323,Janice MacGuigan,Janice MacGuigan,
2002_03_text.txt,330,Ian MacInnis,Ian MacInnis,
2002_03_text.txt,342,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,345,Donald MacVicar,Donald MacVicar,
2002_03_text.txt,352,Steve McCutcheon,Steve McCutcheon,
2002_03_text.txt,360,Donna McGavin,Donna McGavin,
2002_03_text.txt,366,Dennis McKaig,Dennis McKaig,
2002_03_text.txt,378,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,381,Alan Mervin,Alan Mervin,
2002_03_text.txt,389,Christina Budweth Mingay,Christina Budweth Mingay,
2002_03_text.txt,396,Brian Nicholson,Brian Nicholson,
2002_03_text.txt,406,Nicholas John Pustina,Nicholas John Pustina,
2002_03_text.txt,415,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,418,Brian Rodenhurst,Brian Rodenhurst,
2002_03_text.txt,424,Pina Sauro,Pina Sauro,
2002_03_text.txt,436,Guy Savoie,Guy Savoie,
2002_03_text.txt,442,Sherry Senis,Sherry Senis,
2002_03_text.txt,452,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,461,Catherine Skinner,Catherine Skinner,
2002_03_text.txt,468,Peter Spadzinski,Peter Spadzinski,
2002_03_text.txt,476,Cynthia Summers,Cynthia Summers,
2002_03_text.txt,487,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,490,Julius Suraski,Julius Suraski,
2002_03_text.txt,504,George Taylor,George Taylor,
2002_03_text.txt,511,Gerald Taylor,Gerald Taylor,
2002_03_text.txt,518,Diane Tinker,Diane Tinker,
2002_03_text.txt,524,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2002_03_text.txt,531,Christopher Trueman,Christopher Trueman,
2002_03_text.txt,541,Michael van Dusen,Michael van Dusen,
2002_03_text.txt,550,Andreas von Cramon,Andreas von Cramon,
2008_09_names.txt,5,Kim Bugby,Kim Bugby,
2008_09_names.txt,8,Eli Fellman,Eli Fellman,
2008_09_names.txt,11,Régent Gagnon,Régent Gagnon,
2008_09_names.txt,13,Murray Wm. Graham,Murray Wm. Graham,
2008_09_names.txt,15,Sean Henry,Sean Henry,
