normalized_name,metadata,source_file,raw_line
Chisanga Puta-Chekwe,,1999_00_text.txt,Chisanga Puta-Chekwe
David Braund,,1999_00_text.txt,David Braund
Gilles Guénette,,1999_00_text.txt,Gilles Guénette
Connie Holmes,,1999_00_text.txt,Connie Holmes
Mary Lee,,1999_00_text.txt,Mary Lee
Beverly Moore,,1999_00_text.txt,Beverly Moore
Shehnaz Alidina,Part-Time Member,1999_00_text.txt,Shehnaz Alidina (Part-Time Member)
Chris Braney,,1999_00_text.txt,Chris Braney
Jim Brown,,1999_00_text.txt,Jim Brown
Stanley Chapman,Part-Time Member,1999_00_text.txt,Stanley Chapman (Part-Time Member)
Andreas von Cramon,,1999_00_text.txt,Andreas von Cramon
Janet Davies,,1999_00_text.txt,Janet Davies
Lola Fabowalé,,1999_00_text.txt,Lola Fabowalé
Nancy Fahlgren,,1999_00_text.txt,Nancy Fahlgren
Steven J. Faughnan,,1999_00_text.txt,Steven J. Faughnan
Richard A. Feldman,,1999_00_text.txt,Richard A. Feldman
Charles Gascoyne,,1999_00_text.txt,Charles Gascoyne
John Goodchild,,1999_00_text.txt,John Goodchild
Murray Wm. Graham,,1999_00_text.txt,Murray Wm. Graham
Patricia Greenside,,1999_00_text.txt,Patricia Greenside
David J. Gregory,,1999_00_text.txt,David J. Gregory
Shawn Hayman,,1999_00_text.txt,Shawn Hayman
Knox Henry,Part-Time Member,1999_00_text.txt,Knox Henry (Part-Time Member)
David Horrox,,1999_00_text.txt,David Horrox
Richard Ittleman,,1999_00_text.txt,Richard Ittleman
Linda Joss,,1999_00_text.txt,Linda Joss
Braham T. Kapal,,1999_00_text.txt,Braham T. Kapal
Laurie Koch,,1999_00_text.txt,Laurie Koch
Stephan M. Kozak,,1999_00_text.txt,Stephan M. Kozak
Romuald Kwolek,Part-Time Member,1999_00_text.txt,Romuald Kwolek (Part-Time Member)
Edward Lee,Part-Time Member,1999_00_text.txt,Edward Lee (Part-Time Member)
Sonia Light,,1999_00_text.txt,Sonia Light
Paul Lummiss,,1999_00_text.txt,Paul Lummiss
Ian MacInnis,,1999_00_text.txt,Ian MacInnis
Donald MacVicar,,1999_00_text.txt,Donald MacVicar
J. Steven McCutcheon,,1999_00_text.txt,J. Steven McCutcheon
Tom McDermott,,1999_00_text.txt,Tom McDermott
Donna McGavin,,1999_00_text.txt,Donna McGavin
Brian L. Rodenhurst,,1999_00_text.txt,Brian L. Rodenhurst
Jeffrey Rogers,,1999_00_text.txt,Jeffrey Rogers
Nancy Savage,,1999_00_text.txt,Nancy Savage
Sherry Ruth Senis,,1999_00_text.txt,Sherry Ruth Senis
Catherine Skinner,,1999_00_text.txt,Catherine Skinner
Cynthia Lynn Summers,,1999_00_text.txt,Cynthia Lynn Summers
Julius Suraski,Part-Time Member,1999_00_text.txt,Julius Suraski (Part-Time Member)
David G. Timms,,1999_00_text.txt,David G. Timms
Diane L. Tinker,,1999_00_text.txt,Diane L. Tinker
David Wright,,1999_00_text.txt,David Wright
